rank,name,com_domain,com_status,se_domain,se_status,score,length,bolagsverket_url,tmview_url,checked_at_utc,notes
1,Lucidfolk,lucidfolk.com,available,lucidfolk.se,available,104.4,9,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Lucidfolk,2026-07-30T13:12:53+00:00,.com verkar ledig; .se verkar ledig
2,Cohereframe,cohereframe.com,available,cohereframe.se,available,98.4,11,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Cohereframe,2026-07-30T13:12:53+00:00,.com verkar ledig; .se verkar ledig
3,Motiveframe,motiveframe.com,available,motiveframe.se,available,98.4,11,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Motiveframe,2026-07-30T13:12:53+00:00,.com verkar ledig; .se verkar ledig
4,Motivestory,motivestory.com,available,motivestory.se,available,98.4,11,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Motivestory,2026-07-30T13:12:53+00:00,.com verkar ledig; .se verkar ledig
5,Coherefield,coherefield.com,available,coherefield.se,available,97.4,11,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Coherefield,2026-07-30T13:12:53+00:00,.com verkar ledig; .se verkar ledig
6,Coherecraft,coherecraft.com,available,coherecraft.se,available,97.4,11,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Coherecraft,2026-07-30T13:12:53+00:00,.com verkar ledig; .se verkar ledig
7,Motivefield,motivefield.com,available,motivefield.se,available,97.4,11,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Motivefield,2026-07-30T13:12:53+00:00,.com verkar ledig; .se verkar ledig
8,Coherewise,coherewise.com,available,coherewise.se,available,96.4,10,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Coherewise,2026-07-30T13:12:53+00:00,.com verkar ledig; .se verkar ledig
9,Cohereline,cohereline.com,available,cohereline.se,available,96.4,10,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Cohereline,2026-07-30T13:12:53+00:00,.com verkar ledig; .se verkar ledig
10,Cohereform,cohereform.com,available,cohereform.se,available,95.6,10,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Cohereform,2026-07-30T13:12:53+00:00,.com verkar ledig; .se verkar ledig
11,Coherefolk,coherefolk.com,available,coherefolk.se,available,95.6,10,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Coherefolk,2026-07-30T13:12:53+00:00,.com verkar ledig; .se verkar ledig
