rank,name,com_domain,com_status,se_domain,se_status,score,length,bolagsverket_url,tmview_url,checked_at_utc,notes
1,Lind Pine,lindpine.com,available,lindpine.se,available,114.1,8,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Lind+Pine,2026-07-30T13:22:30+00:00,.com verkar ledig; .se verkar ledig
2,Norr Pine,norrpine.com,available,norrpine.se,available,114.1,8,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Norr+Pine,2026-07-30T13:22:30+00:00,.com verkar ledig; .se verkar ledig
3,Lind Loom,lindloom.com,available,lindloom.se,available,112.0,8,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Lind+Loom,2026-07-30T13:22:30+00:00,.com verkar ledig; .se verkar ledig
4,Lindell & Co,lindellco.com,available,lindellco.se,available,109.9,9,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Lindell+%26+Co,2026-07-30T13:22:30+00:00,.com verkar ledig; .se verkar ledig
5,Lind Frame,lindframe.com,available,lindframe.se,available,109.9,9,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Lind+Frame,2026-07-30T13:22:30+00:00,.com verkar ledig; .se verkar ledig
6,Lind Slate,lindslate.com,available,lindslate.se,available,109.9,9,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Lind+Slate,2026-07-30T13:22:30+00:00,.com verkar ledig; .se verkar ledig
7,Lind Relay,lindrelay.com,available,lindrelay.se,available,109.9,9,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Lind+Relay,2026-07-30T13:22:30+00:00,.com verkar ledig; .se verkar ledig
8,Norr House,norrhouse.com,available,norrhouse.se,available,109.9,9,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Norr+House,2026-07-30T13:22:30+00:00,.com verkar ledig; .se verkar ledig
9,Norr Frame,norrframe.com,available,norrframe.se,available,109.9,9,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Norr+Frame,2026-07-30T13:22:30+00:00,.com verkar ledig; .se verkar ledig
10,Norr Forge,norrforge.com,available,norrforge.se,available,109.9,9,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Norr+Forge,2026-07-30T13:22:30+00:00,.com verkar ledig; .se verkar ledig
11,Lind Craft,lindcraft.com,available,lindcraft.se,available,104.6,9,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Lind+Craft,2026-07-30T13:22:30+00:00,.com verkar ledig; .se verkar ledig
12,Lind Birch,lindbirch.com,available,lindbirch.se,available,104.6,9,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Lind+Birch,2026-07-30T13:22:30+00:00,.com verkar ledig; .se verkar ledig
13,Lind Draft,linddraft.com,available,linddraft.se,available,104.6,9,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Lind+Draft,2026-07-30T13:22:30+00:00,.com verkar ledig; .se verkar ledig
14,Norr Craft,norrcraft.com,available,norrcraft.se,available,104.6,9,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Norr+Craft,2026-07-30T13:22:30+00:00,.com verkar ledig; .se verkar ledig
15,Lind Union,lindunion.com,available,lindunion.se,available,104.4,9,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Lind+Union,2026-07-30T13:22:30+00:00,.com verkar ledig; .se verkar ledig
16,Norr Atlas,norratlas.com,available,norratlas.se,available,104.4,9,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Norr+Atlas,2026-07-30T13:22:30+00:00,.com verkar ledig; .se verkar ledig
17,Lindell House,lindellhouse.com,available,lindellhouse.se,available,103.7,12,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Lindell+House,2026-07-30T13:22:30+00:00,.com verkar ledig; .se verkar ledig
18,Lindell Frame,lindellframe.com,available,lindellframe.se,available,103.7,12,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Lindell+Frame,2026-07-30T13:22:30+00:00,.com verkar ledig; .se verkar ledig
