rank,name,com_domain,com_status,se_domain,se_status,score,length,bolagsverket_url,tmview_url,checked_at_utc,notes
1,Praero,praero.com,available,praero.se,available,115.6,6,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Praero,2026-07-29T16:42:51+00:00,.com verkar ledig; .se verkar ledig
2,Fraira,fraira.com,available,fraira.se,available,115.6,6,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Fraira,2026-07-29T16:42:51+00:00,.com verkar ledig; .se verkar ledig
3,Fraero,fraero.com,available,fraero.se,available,115.6,6,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Fraero,2026-07-29T16:42:51+00:00,.com verkar ledig; .se verkar ledig
4,Relria,relria.com,available,relria.se,available,115.6,6,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Relria,2026-07-29T16:42:51+00:00,.com verkar ledig; .se verkar ledig
5,Fraova,fraova.com,available,fraova.se,available,115.6,6,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Fraova,2026-07-29T16:42:51+00:00,.com verkar ledig; .se verkar ledig
6,Eloable,eloable.com,available,eloable.se,available,115.1,7,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Eloable,2026-07-29T16:42:51+00:00,.com verkar ledig; .se verkar ledig
7,Veroable,veroable.com,available,veroable.se,available,114.1,8,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Veroable,2026-07-29T16:42:51+00:00,.com verkar ledig; .se verkar ledig
8,Formria,formria.com,available,formria.se,available,113.6,7,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Formria,2026-07-29T16:42:51+00:00,.com verkar ledig; .se verkar ledig
9,Evaoro,evaoro.com,available,evaoro.se,available,112.4,6,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Evaoro,2026-07-29T16:42:51+00:00,.com verkar ledig; .se verkar ledig
10,Eloivo,eloivo.com,available,eloivo.se,available,112.4,6,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Eloivo,2026-07-29T16:42:51+00:00,.com verkar ledig; .se verkar ledig
11,Evaivo,evaivo.com,available,evaivo.se,available,112.4,6,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Evaivo,2026-07-29T16:42:51+00:00,.com verkar ledig; .se verkar ledig
12,Talaoro,talaoro.com,available,talaoro.se,available,111.7,7,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Talaoro,2026-07-29T16:42:51+00:00,.com verkar ledig; .se verkar ledig
13,Veroava,veroava.com,available,veroava.se,available,111.7,7,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Veroava,2026-07-29T16:42:51+00:00,.com verkar ledig; .se verkar ledig
14,Veroira,veroira.com,available,veroira.se,available,111.7,7,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Veroira,2026-07-29T16:42:51+00:00,.com verkar ledig; .se verkar ledig
15,Valoava,valoava.com,available,valoava.se,available,111.7,7,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Valoava,2026-07-29T16:42:51+00:00,.com verkar ledig; .se verkar ledig
16,Valoaro,valoaro.com,available,valoaro.se,available,111.7,7,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Valoaro,2026-07-29T16:42:51+00:00,.com verkar ledig; .se verkar ledig
17,Talaova,talaova.com,available,talaova.se,available,111.7,7,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Talaova,2026-07-29T16:42:51+00:00,.com verkar ledig; .se verkar ledig
18,Valoero,valoero.com,available,valoero.se,available,111.7,7,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Valoero,2026-07-29T16:42:51+00:00,.com verkar ledig; .se verkar ledig
19,Valoeva,valoeva.com,available,valoeva.se,available,111.7,7,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Valoeva,2026-07-29T16:42:51+00:00,.com verkar ledig; .se verkar ledig
20,Frable,frable.com,registered,frable.se,available,-49.4,6,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Frable,2026-07-29T16:42:51+00:00,.com registrerad; .se verkar ledig
21,Floivo,floivo.com,registered,floivo.se,available,-49.4,6,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Floivo,2026-07-29T16:42:51+00:00,.com registrerad; .se verkar ledig
22,Relvia,relvia.com,registered,relvia.se,available,-49.4,6,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Relvia,2026-07-29T16:42:51+00:00,.com registrerad; .se verkar ledig
23,Monria,monria.com,registered,monria.se,available,-49.4,6,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Monria,2026-07-29T16:42:51+00:00,.com registrerad; .se verkar ledig
24,Briera,briera.com,registered,briera.se,available,-49.4,6,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Briera,2026-07-29T16:42:51+00:00,.com registrerad; .se verkar ledig
25,Cleava,cleava.com,registered,cleava.se,available,-49.4,6,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Cleava,2026-07-29T16:42:51+00:00,.com registrerad; .se verkar ledig
26,Marvia,marvia.com,registered,marvia.se,available,-49.4,6,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Marvia,2026-07-29T16:42:51+00:00,.com registrerad; .se verkar ledig
27,Floira,floira.com,registered,floira.se,available,-49.4,6,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Floira,2026-07-29T16:42:51+00:00,.com registrerad; .se verkar ledig
28,Praira,praira.com,registered,praira.se,available,-49.4,6,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Praira,2026-07-29T16:42:51+00:00,.com registrerad; .se verkar ledig
29,Kaivia,kaivia.com,registered,kaivia.se,available,-49.4,6,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Kaivia,2026-07-29T16:42:51+00:00,.com registrerad; .se verkar ledig
30,Briero,briero.com,registered,briero.se,available,-49.4,6,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Briero,2026-07-29T16:42:51+00:00,.com registrerad; .se verkar ledig
31,Fravia,fravia.com,registered,fravia.se,available,-49.4,6,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Fravia,2026-07-29T16:42:51+00:00,.com registrerad; .se verkar ledig
32,Prable,prable.com,registered,prable.se,available,-49.4,6,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Prable,2026-07-29T16:42:51+00:00,.com registrerad; .se verkar ledig
